product_id,id_web,sku,price,total_sales,ca,price_zscore,premium
5026,13913,13913,86.8,0.0,0.0,1.9517320658705044,False
4359,13853,13853,85.6,1.0,85.6,1.9086218323188977,False
5580,13982,13982,83.7,0.0,0.0,1.8403639625288544,False
4337,4679,4679,83.0,0.0,0.0,1.815216326290417,False
4046,15269,15269,80.0,6.0,480.0,1.7074407424114006,False
4210,15720,15720,79.8,0.0,0.0,1.7002557034861328,False
4350,12588,12588,79.5,0.0,0.0,1.6894781450982312,False
4353,12587,12587,79.5,3.0,238.5,1.6894781450982312,False
4995,14509,14509,78.0,0.0,0.0,1.635590353158723,False
4996,14508,14508,78.0,0.0,0.0,1.635590353158723,False
6299,15710,15710,78.0,0.0,0.0,1.635590353158723,False
4797,14506,14506,78.0,0.0,0.0,1.635590353158723,False
4994,14507,14507,78.0,0.0,0.0,1.635590353158723,False
4073,13074,13074,77.8,0.0,0.0,1.6284053142334551,False
4139,13217,13217,77.4,0.0,0.0,1.61403523638292,False
4358,13854,13854,77.0,0.0,0.0,1.5996651585323842,False
4631,791,791,76.8,0.0,0.0,1.5924801196071163,False
6106,14106,14106,74.8,0.0,0.0,1.5206297303544387,False
5951,16472,16472,74.5,0.0,0.0,1.5098521719665372,False
5741,15127,15127,73.3,0.0,0.0,1.4667419384149305,False
6568,15707,15707,72.0,0.0,0.0,1.4200391854006902,False
6041,13073,13073,71.7,0.0,0.0,1.409261627012789,False
4054,19816,19816,71.6,10.0,716.0,1.4056691075501544,False
5968,13215,13215,71.5,0.0,0.0,1.4020765880875208,False
5618,15921,15921,71.3,0.0,0.0,1.3948915491622529,False
5619,15922,15922,71.3,0.0,0.0,1.3948915491622529,False
4286,16066,16066,69.8,10.0,698.0,1.341003757222745,False
7025,15887,15887,69.0,0.0,0.0,1.3122636015216738,False
4149,7086,7086,69.0,0.0,0.0,1.3122636015216738,False
5969,13211,13211,69.0,0.0,0.0,1.3122636015216738,False
6573,15473,15473,68.3,1.0,68.3,1.2871159652832365,False
4405,13230,13230,68.1,0.0,0.0,1.2799309263579686,False
4617,10459,10459,67.5,0.0,0.0,1.2583758095821655,False
4573,13604,13604,67.2,0.0,0.0,1.247598251194264,False
5063,15715,15715,67.0,0.0,0.0,1.240413212268996,False
5545,14827,14827,65.9,7.0,461.30000000000007,1.2008954981800235,False
5069,15344,15344,65.0,0.0,0.0,1.1685628230163183,False
5002,14580,14580,64.9,0.0,0.0,1.164970303553685,False
5818,15241,15241,63.5,0.0,0.0,1.1146750310768103,False
5820,15240,15240,63.5,0.0,0.0,1.1146750310768103,False
5611,15945,15945,63.4,1.0,63.4,1.1110825116141765,False
4401,3506,3506,62.5,1.0,62.5,1.0787498364504715,False
4635,798,798,62.4,0.0,0.0,1.0751573169878377,False
4630,793,793,62.4,4.0,249.6,1.0751573169878377,False
6107,14101,14101,62.4,0.0,0.0,1.0751573169878377,False
5027,11997,11997,62.1,0.0,0.0,1.0643797585999362,False
4396,9636,9636,62.0,0.0,0.0,1.060787239137302,False
5544,14828,14828,61.6,0.0,0.0,1.0464171612867668,False
4597,14000,14000,61.6,2.0,123.2,1.0464171612867668,False
5523,15862,15862,60.4,1.0,60.4,1.00330692773516,False
4043,14980,14980,60.0,3.0,180.0,0.9889368498846246,False
4069,11862,11862,60.0,0.0,0.0,0.9889368498846246,False
5932,523,523,59.9,0.0,0.0,0.9853443304219908,False
5068,15345,15345,59.9,0.0,0.0,0.9853443304219908,False
5067,15346,15346,59.9,16.0,958.4,0.9853443304219908,False
4394,13766,13766,59.8,0.0,0.0,0.9817518109593568,False
4253,6616,6616,59.6,0.0,0.0,0.974566772034089,False
5574,8463,8463,59.6,0.0,0.0,0.974566772034089,False
5004,15871,15871,59.4,2.0,118.8,0.9673817331088213,False
4150,1366,1366,59.0,1.0,59.0,0.9530116552582858,False
4348,12586,12586,59.0,0.0,0.0,0.9530116552582858,False
4397,12639,12639,59.0,0.0,0.0,0.9530116552582858,False
4619,11049,11049,59.0,0.0,0.0,0.9530116552582858,False
4399,12640,12640,59.0,1.0,59.0,0.9530116552582858,False
4398,12641,12641,59.0,0.0,0.0,0.9530116552582858,False
